timestamp,open,high,low,close,volume
2026-04-08 22:30:00,71165.36,71283.3,71089.03,71283.3,32.90477
2026-04-08 22:35:00,71283.3,71365.45,71283.3,71315.7,23.52674
2026-04-08 22:40:00,71315.69,71316.66,71239.86,71239.86,7.67727
2026-04-08 22:45:00,71239.87,71269.3,71229.87,71267.82,18.75702
2026-04-08 22:50:00,71267.82,71279.35,71157.37,71157.38,36.33104
2026-04-08 22:55:00,71157.37,71157.38,71064.84,71064.84,53.40355
2026-04-08 23:00:00,71064.84,71069.34,70901.89,70958.61,96.78632
2026-04-08 23:05:00,70958.62,71050.0,70958.61,71000.0,120.20249
2026-04-08 23:10:00,71000.0,71170.0,70999.99,71165.36,51.22158
2026-04-08 23:15:00,71165.36,71204.0,71072.36,71085.3,18.49262
2026-04-08 23:20:00,71085.3,71108.09,70910.0,70992.0,57.23844
2026-04-08 23:25:00,70992.01,71031.79,70957.31,71031.78,24.35147
2026-04-08 23:30:00,71031.79,71040.0,70956.08,71021.39,29.76767
2026-04-08 23:35:00,71021.38,71127.35,71001.88,71073.72,27.98652
2026-04-08 23:40:00,71073.73,71124.55,71065.77,71083.29,16.93214
2026-04-08 23:45:00,71083.29,71138.1,71073.92,71138.1,13.80394
2026-04-08 23:50:00,71138.11,71169.67,71092.2,71102.41,20.15829
2026-04-08 23:55:00,71102.41,71139.61,71069.93,71069.93,40.92026
2026-04-09 00:00:00,71069.93,71077.32,70986.61,71038.0,51.63798
2026-04-09 00:05:00,71037.99,71133.71,71024.13,71042.47,19.89057
2026-04-09 00:10:00,71042.48,71042.48,70994.26,70997.74,15.6929
2026-04-09 00:15:00,70997.74,71014.68,70916.71,70939.99,34.88073
2026-04-09 00:20:00,70940.0,70976.0,70859.63,70935.55,171.16833
2026-04-09 00:25:00,70935.55,71004.19,70911.83,70927.87,30.76293
2026-04-09 00:30:00,70927.88,70930.17,70769.23,70821.99,59.1647
2026-04-09 00:35:00,70821.99,70937.98,70764.94,70767.94,74.80241
2026-04-09 00:40:00,70767.95,70832.01,70764.5,70810.38,93.05495
2026-04-09 00:45:00,70810.39,70815.46,70677.18,70743.77,57.87691
2026-04-09 00:50:00,70743.77,70758.89,70650.0,70758.88,42.76628
2026-04-09 00:55:00,70758.89,70879.25,70758.89,70815.5,26.15273
2026-04-09 01:00:00,70815.5,70881.58,70801.29,70847.57,20.76238
2026-04-09 01:05:00,70847.58,70874.14,70468.63,70576.83,163.28807
2026-04-09 01:10:00,70576.82,70663.58,70548.27,70663.57,51.64463
2026-04-09 01:15:00,70663.57,70671.5,70559.15,70610.34,29.22378
2026-04-09 01:20:00,70610.33,70679.95,70466.0,70543.92,40.28009
2026-04-09 01:25:00,70543.93,70627.44,70530.34,70617.96,27.83475
2026-04-09 01:30:00,70617.97,70850.0,70594.15,70816.28,50.5317
2026-04-09 01:35:00,70816.28,70827.99,70748.0,70774.06,26.2433
2026-04-09 01:40:00,70774.07,70776.54,70748.0,70764.88,12.59975
2026-04-09 01:45:00,70764.88,70850.0,70700.0,70833.04,21.98383
2026-04-09 01:50:00,70833.3,70956.7,70833.3,70945.2,25.6535
2026-04-09 01:55:00,70945.21,70948.63,70914.0,70928.89,24.99087
2026-04-09 02:00:00,70928.9,71025.38,70881.57,70888.57,43.07172
2026-04-09 02:05:00,70888.56,70980.5,70884.86,70967.15,15.27015
2026-04-09 02:10:00,70967.15,70967.15,70824.46,70835.68,12.992
2026-04-09 02:15:00,70835.68,70946.96,70816.36,70946.95,12.41766
2026-04-09 02:20:00,70946.96,70973.0,70888.0,70940.0,30.19391
2026-04-09 02:25:00,70940.01,71064.51,70940.01,71028.88,17.38508
2026-04-09 02:30:00,71028.87,71090.07,71011.39,71050.01,20.64558
2026-04-09 02:35:00,71050.0,71063.57,70990.6,71038.35,22.69844
2026-04-09 02:40:00,71038.35,71043.15,70909.52,71042.0,172.84107
2026-04-09 02:45:00,71042.01,71160.32,70981.95,71145.62,274.58611
2026-04-09 02:50:00,71145.21,71198.8,71125.74,71160.69,19.85415
2026-04-09 02:55:00,71160.68,71160.68,71044.49,71060.64,22.19804
2026-04-09 03:00:00,71060.64,71087.11,71038.25,71078.63,14.88571
2026-04-09 03:05:00,71078.63,71124.05,70969.69,70994.41,236.44013
2026-04-09 03:10:00,70994.41,70994.41,70943.68,70983.55,10.97344
2026-04-09 03:15:00,70983.54,70999.94,70935.77,70990.0,108.24712
2026-04-09 03:20:00,70990.01,70990.01,70919.85,70986.62,95.26116
2026-04-09 03:25:00,70986.62,70990.0,70869.56,70914.37,31.95274
2026-04-09 03:30:00,70914.37,70982.98,70913.04,70942.9,41.40499
2026-04-09 03:35:00,70942.9,70986.62,70923.6,70943.99,12.38315
2026-04-09 03:40:00,70943.99,70958.1,70873.07,70903.93,117.61046
2026-04-09 03:45:00,70903.93,70972.9,70845.27,70972.89,25.91593
2026-04-09 03:50:00,70972.9,71041.06,70972.9,71017.99,82.20839
2026-04-09 03:55:00,71018.0,71018.92,70975.64,70992.39,30.97034
2026-04-09 04:00:00,70992.37,71006.07,70960.79,71000.0,21.11221
2026-04-09 04:05:00,71000.0,71006.13,70930.33,70952.16,16.05262
2026-04-09 04:10:00,70952.17,70961.48,70888.47,70908.0,21.71779
2026-04-09 04:15:00,70907.99,70928.9,70884.39,70928.9,43.55438
2026-04-09 04:20:00,70928.89,70928.9,70844.0,70845.83,43.86091
2026-04-09 04:25:00,70845.83,70855.04,70798.84,70838.0,17.92248
2026-04-09 04:30:00,70838.0,70896.78,70838.0,70890.61,17.84993
2026-04-09 04:35:00,70890.62,70909.02,70869.17,70879.99,24.97874
2026-04-09 04:40:00,70880.0,70927.13,70874.17,70874.17,28.08323
2026-04-09 04:45:00,70874.18,70898.7,70734.77,70758.6,39.48213
2026-04-09 04:50:00,70758.6,70796.4,70738.81,70771.77,18.03661
2026-04-09 04:55:00,70771.77,70789.14,70752.77,70782.0,11.49939
2026-04-09 05:00:00,70781.99,70855.14,70689.38,70834.98,40.8993
2026-04-09 05:05:00,70834.99,70864.21,70816.43,70858.63,16.36628
2026-04-09 05:10:00,70858.63,70870.92,70796.06,70870.91,12.96368
2026-04-09 05:15:00,70870.91,70923.49,70842.98,70923.49,26.46966
2026-04-09 05:20:00,70923.49,70964.2,70898.0,70916.0,62.37489
2026-04-09 05:25:00,70916.0,71000.0,70916.0,70985.52,59.52052
2026-04-09 05:30:00,70985.51,71010.0,70964.35,70996.55,33.23555
2026-04-09 05:35:00,70996.55,71087.12,70984.19,71077.93,67.71981
2026-04-09 05:40:00,71077.92,71077.92,71035.46,71040.58,21.3434
2026-04-09 05:45:00,71040.58,71040.58,70946.28,70962.7,39.08877
2026-04-09 05:50:00,70962.69,70986.61,70909.95,70952.0,62.54251
2026-04-09 05:55:00,70951.99,70984.0,70947.22,70984.0,52.87663
2026-04-09 06:00:00,70983.99,71082.71,70983.99,71019.52,41.11676
2026-04-09 06:05:00,71019.52,71076.69,71004.55,71004.55,21.32592
2026-04-09 06:10:00,71004.56,71054.0,70995.15,71010.01,27.07837
2026-04-09 06:15:00,71010.01,71010.02,70938.06,70943.58,27.29855
2026-04-09 06:20:00,70943.58,70943.58,70875.54,70881.58,52.00913
2026-04-09 06:25:00,70881.57,70881.58,70809.94,70862.0,40.86212
2026-04-09 06:30:00,70862.01,70938.06,70810.69,70912.34,28.5051
2026-04-09 06:35:00,70912.34,70971.83,70903.88,70905.0,111.72046
2026-04-09 06:40:00,70905.0,70957.92,70905.0,70934.77,27.68799
2026-04-09 06:45:00,70934.77,70952.52,70927.86,70931.95,17.58629
2026-05-10 22:05:00,81238.37,81306.08,81210.0,81304.6,29.96087
2026-05-11 09:20:00,80699.99,80766.08,80684.02,80737.27,39.53834
2026-05-11 09:25:00,80737.26,80748.99,80709.87,80736.01,29.26695
2026-05-11 09:30:00,80736.0,80736.73,80670.79,80704.86,45.645
2026-05-11 09:35:00,80704.87,80766.15,80650.81,80650.82,17.3926
2026-05-11 09:40:00,80650.81,80715.23,80639.99,80640.0,132.42993
2026-05-11 09:45:00,80640.0,80720.0,80639.99,80691.18,19.103
2026-05-11 09:55:00,80766.51,80789.99,80727.99,80752.81,19.87449
2026-05-11 10:00:00,80752.8,80812.22,80708.71,80793.56,16.79439
2026-05-11 10:05:00,80793.56,80814.03,80777.75,80782.04,28.86731
2026-05-11 11:40:00,80928.66,80985.6,80910.65,80913.46,17.20978
2026-05-11 11:45:00,80913.46,80918.75,80830.84,80858.0,26.47118
2026-05-11 11:50:00,80858.01,80982.0,80858.0,80982.0,15.66202
2026-05-11 11:55:00,80982.41,81049.51,80977.27,80988.0,16.72193
2026-05-11 12:00:00,80987.99,81016.78,80948.62,80948.63,17.85741
2026-05-11 12:05:00,80948.63,80981.19,80914.7,80928.68,25.28873
2026-05-11 12:10:00,80928.68,80928.68,80803.12,80820.37,27.3983
2026-05-11 12:15:00,80820.37,80828.85,80762.0,80765.96,25.09651
2026-05-11 12:20:00,80765.96,80861.86,80763.04,80836.76,25.15236
2026-05-11 12:25:00,80836.76,80873.68,80822.85,80822.86,55.96022
2026-05-11 12:30:00,80822.86,80823.0,80750.0,80750.0,40.44517
2026-05-11 12:35:00,80750.01,80769.56,80700.0,80769.55,58.41816
2026-05-11 12:40:00,80769.56,80800.0,80754.07,80759.99,41.72706
2026-05-11 12:45:00,80759.99,80834.0,80700.0,80833.89,28.4272
2026-05-11 12:50:00,80833.89,80840.3,80746.01,80774.77,15.32139
2026-05-11 12:55:00,80774.77,80800.0,80721.27,80737.9,35.6583
2026-05-11 13:00:00,80737.89,80767.58,80663.11,80724.58,69.73702
2026-05-11 13:15:00,80728.97,80779.54,80718.36,80724.82,42.77236
2026-05-11 13:20:00,80724.82,80800.0,80724.82,80760.64,59.04909
2026-05-11 13:25:00,80760.65,80760.65,80716.78,80740.4,27.72655
2026-05-11 13:30:00,80740.4,80785.96,80700.0,80709.18,30.04296
2026-05-11 13:35:00,80709.17,80770.42,80662.45,80662.45,26.92853
2026-05-11 13:55:00,80777.41,80795.59,80646.83,80646.84,25.83381
2026-05-11 14:00:00,80646.83,80722.48,80621.87,80690.47,32.11512
2026-05-11 14:05:00,80690.47,80820.0,80690.46,80778.37,68.00781
2026-05-11 14:10:00,80778.37,80846.62,80769.57,80836.34,63.68638
2026-05-11 14:20:00,80855.98,80858.27,80794.18,80794.19,11.14112
2026-05-11 14:25:00,80794.19,80794.19,80732.83,80767.97,8.70824
