trade_number,prediction,confidence,result,pnl,balance
237,1,0.9589434,LOSS,-10.004,4718.240000000028
238,1,0.9514,LOSS,-10.004,4708.236000000028
239,1,0.9771807,WIN,19.992,4728.228000000028
240,1,0.9735516,WIN,19.992,4748.220000000028
241,1,0.9500501,WIN,19.992,4768.212000000029
242,1,0.9634035,WIN,19.992,4788.204000000029
243,1,0.95073223,WIN,19.992,4808.196000000029
244,1,0.9647875,WIN,19.992,4828.188000000029
245,1,0.9606878,WIN,19.992,4848.180000000029
246,1,0.9516887,WIN,19.992,4868.17200000003
247,1,0.95122576,LOSS,-10.004,4858.16800000003
248,1,0.9601866,WIN,19.992,4878.16000000003
249,1,0.95911074,LOSS,-10.004,4868.15600000003
250,1,0.95891887,WIN,19.992,4888.14800000003
251,0,0.96158123,WIN,19.992,4908.14000000003
252,1,0.9789209,WIN,19.992,4928.1320000000305
253,1,0.9536611,WIN,19.992,4948.124000000031
254,0,0.9527793,WIN,19.992,4968.116000000031
255,0,0.97061425,WIN,19.992,4988.108000000031
256,1,0.9520539,WIN,19.992,5008.100000000031
257,1,0.9544623,WIN,19.992,5028.0920000000315
258,1,0.9555159,WIN,19.992,5048.084000000032
259,1,0.97973114,WIN,19.992,5068.076000000032
260,1,0.95011383,WIN,19.992,5088.068000000032
261,1,0.95730424,WIN,19.992,5108.060000000032
262,1,0.95115995,WIN,19.992,5128.052000000032
263,1,0.9531744,WIN,19.992,5148.044000000033
264,1,0.95050925,LOSS,-10.004,5138.040000000033
265,1,0.9530708,WIN,19.992,5158.032000000033
266,1,0.95599514,WIN,19.992,5178.024000000033
267,1,0.9571421,WIN,19.992,5198.016000000033
268,0,0.96221805,WIN,19.992,5218.0080000000335
269,1,0.9507501,WIN,19.992,5238.000000000034
270,1,0.9504417,WIN,19.992,5257.992000000034
271,1,0.9601161,WIN,19.992,5277.984000000034
272,1,0.960063,WIN,19.992,5297.976000000034
273,1,0.95465064,WIN,19.992,5317.968000000034
274,1,0.95080537,WIN,19.992,5337.960000000035
275,1,0.9552274,WIN,19.992,5357.952000000035
276,1,0.9514472,WIN,19.992,5377.944000000035
277,1,0.9634924,WIN,19.992,5397.936000000035
278,1,0.95547956,WIN,19.992,5417.928000000035
279,1,0.9509677,WIN,19.992,5437.9200000000355
280,1,0.96018934,WIN,19.992,5457.912000000036
281,1,0.9524991,WIN,19.992,5477.904000000036
282,0,0.95625955,WIN,19.992,5497.896000000036
283,0,0.9535617,WIN,19.992,5517.888000000036
284,1,0.9635494,WIN,19.992,5537.8800000000365
285,1,0.95809954,WIN,19.992,5557.872000000037
286,0,0.9712855,WIN,19.992,5577.864000000037
287,1,0.96428853,WIN,19.992,5597.856000000037
288,1,0.95043147,WIN,19.992,5617.848000000037
289,1,0.9515401,WIN,19.992,5637.840000000037
290,1,0.9532172,WIN,19.992,5657.832000000038
291,0,0.9539989,WIN,19.992,5677.824000000038
292,0,0.961928,WIN,19.992,5697.816000000038
293,1,0.9549194,WIN,19.992,5717.808000000038
294,1,0.95692575,WIN,19.992,5737.800000000038
295,1,0.96750623,WIN,19.992,5757.792000000039
296,1,0.951507,WIN,19.992,5777.784000000039
297,0,0.9764056,WIN,19.992,5797.776000000039
298,0,0.9502324,WIN,19.992,5817.768000000039
299,1,0.95728576,WIN,19.992,5837.760000000039
300,1,0.95111275,WIN,19.992,5857.7520000000395
301,1,0.95329446,WIN,19.992,5877.74400000004
302,1,0.95067155,WIN,19.992,5897.73600000004
303,0,0.9598599,WIN,19.992,5917.72800000004
304,1,0.9532401,WIN,19.992,5937.72000000004
